alcaldia,totalCamaras_sum,IDS,Delitos_por_10k_hab,Poblacion,camaras_por_10k,cluster,cluster_str
ALVARO OBREGON,1092,0.7984,172.89369376015134,759137,14.38,4,0
AZCAPOTZALCO,651,0.8575,266.0543029349499,432205,15.06,2,1
BENITO JUAREZ,661,0.9457,630.0774151048133,434153,15.23,0,1
COYOACAN,886,0.8531,311.6298069646365,614447,14.42,2,1
CUAJIMALPA DE MORELOS,386,0.7893,99.54705401357919,217686,17.73,1,2
CUAUHTEMOC,543,0.8496,562.2806310498202,545884,9.95,0,1
GUSTAVO A. MADERO,1503,0.8014999999999999,183.97734352295265,1173351,12.81,4,0
IZTACALCO,553,0.8211,226.6892351029788,404695,13.66,4,0
IZTAPALAPA,2388,0.7462,146.2228532388697,1835486,13.01,4,0
LA MAGDALENA CONTRERAS,328,0.7646,112.83327006485692,247622,13.25,4,0
MIGUEL HIDALGO,608,0.8853,365.04451468140036,414470,14.67,2,1
MILPA ALTA,151,0.6559,53.312375151455605,152685,9.89,3,0
TLAHUAC,630,0.7376,113.42983791003614,392313,16.06,1,2
TLALPAN,1632,0.7775,204.1352824861986,699928,23.32,1,2
VENUSTIANO CARRANZA,423,0.8184,234.95393325279917,443704,9.53,4,0
XOCHIMILCO,829,0.7283,143.65255621039492,442178,18.75,1,2
